EntropyAverage,EntropyStd,EntropyMedian,EntropyMin,EntropyMax,VAverage,VStd,VMedian,VMin,VMax,reward,step
0.105467856,0.022203151,0.10098675,0.08079356,0.13462327,320.6929,214.91884,189.12999,149.19061,623.75806,45.0,812
0.077423364,0.04375981,0.077423364,0.033663552,0.12118318,174.79225,162.0377,174.79225,12.7545395,336.82996,21.0,826
0.043763284,0.030297237,0.043763284,0.013466048,0.07406052,34.264404,33.024143,34.264404,1.24026,67.28855,11.0,841
0.08304303,0.036603887,0.06060012,0.05386643,0.13466255,237.12146,272.20877,67.53774,22.618404,621.20825,35.0,866
0.043760806,0.03703115,0.043760806,0.0067296564,0.08079196,73.75981,73.53815,73.75981,0.22165819,147.29796,11.0,879
0.09426696,0.0,0.09426696,0.09426696,0.09426696,151.28079,0.0,151.28079,151.28079,151.28079,12.0,883
0.07405997,0.04039322,0.07405997,0.033666756,0.11445319,146.63785,133.40337,146.63785,13.234487,280.0412,20.0,890
0.06284354,0.05108314,0.033663757,0.020200254,0.1346666,208.27147,289.367,3.8405902,3.4756584,617.49817,26.0,907
0.07406681,0.026933938,0.07406681,0.047132872,0.10100075,146.12006,132.19693,146.12006,13.923129,278.317,20.0,918
0.078552246,0.0498822,0.08753351,0.013465797,0.13465744,270.89258,261.9517,187.13623,0.25404704,625.2875,33.0,937
0.09426631,0.0,0.09426631,0.09426631,0.09426631,151.09027,0.0,151.09027,151.09027,151.09027,12.0,941
0.063965626,0.037032217,0.063965626,0.026933411,0.10099784,97.60201,90.28498,97.60201,7.3170323,187.887,17.0,949
0.05386643,0.020199677,0.05386643,0.033666756,0.07406611,40.819496,27.486107,40.819496,13.33339,68.3056,14.0,959
0.1054807,0.03220952,0.1211826,0.060599126,0.1346604,342.18985,229.93555,330.09378,66.820435,629.6554,45.0,980
0.06060061,0.04713374,0.06060061,0.013466869,0.107734345,116.77376,115.59152,116.77376,1.1822348,232.36528,16.0,991
0.06396684,0.03703354,0.06396684,0.026933303,0.10100038,97.40332,90.05821,97.40332,7.3451133,187.46153,17.0,1003
0.08416605,0.050499197,0.08416605,0.033666857,0.13466525,240.1547,226.93262,240.1547,13.222075,467.0873,23.0,1017
0.1279227,0.0,0.1279227,0.1279227,0.1279227,396.04962,0.0,396.04962,396.04962,396.04962,17.0,1027
0.04713342,0.040400002,0.04713342,0.0067334184,0.08753342,59.65331,59.40964,59.65331,0.24366522,119.06295,12.0,1035
0.0908996,0.043766424,0.0908996,0.047133178,0.13466603,251.07285,217.29198,251.07285,33.780872,468.3648,25.0,1044
0.100992106,0.0,0.100992106,0.100992106,0.100992106,187.49098,0.0,187.49098,187.49098,187.49098,13.0,1059
0.043766998,0.010099977,0.043766998,0.03366702,0.053866975,17.870148,4.659857,17.870148,13.210291,22.530005,11.0,1071
0.09763211,0.01683367,0.09763211,0.08079844,0.11446578,215.35938,64.5155,215.35938,150.84387,279.87488,27.0,1083
0.037028827,0.016829085,0.037028827,0.020199742,0.05385791,12.816577,9.351551,12.816577,3.4650264,22.168127,9.0,1092
0.08079667,0.0,0.08079667,0.08079667,0.08079667,90.08065,0.0,90.08065,90.08065,90.08065,10.0,1100
0.08752836,0.0,0.08752836,0.08752836,0.08752836,117.83619,0.0,117.83619,117.83619,117.83619,11.0,1107
0.060598068,0.013465092,0.060598068,0.047132976,0.07406316,50.960747,17.289583,50.960747,33.67116,68.25033,16.0,1119
0.07406355,0.04499773,0.0605987,0.026933026,0.13465892,230.26057,278.154,67.42313,1.5705522,621.7881,31.0,1135
0.10770539,0.0,0.10770539,0.10770539,0.10770539,230.4015,0.0,230.4015,230.4015,230.4015,14.0,1143
0.097602226,0.037015002,0.097602226,0.060587224,0.13461722,327.0773,292.83694,327.0773,34.240364,619.91425,27.0,1154
0.07405843,5.256386e-06,0.07405843,0.074053176,0.07406369,92.21768,24.75285,92.21768,67.464836,116.970535,20.0,1166
0.04038283,0.020203663,0.04038283,0.020179166,0.060586493,33.629436,33.12798,33.629436,0.50146043,66.757416,10.0,1173
0.07068314,0.04377154,0.07068314,0.026911601,0.11445468,197.69534,196.16527,197.69534,1.5300727,393.86063,19.0,1187
0.05721643,0.050493337,0.05721643,0.006723093,0.107709765,165.8848,165.66104,165.8848,0.22375098,331.54584,15.0,1194
0.0706947,0.05723086,0.0706947,0.013463839,0.12792556,269.67206,269.43414,269.67206,0.23793231,539.1062,19.0,1207
0.07405883,0.0471257,0.07405883,0.02693313,0.121184535,233.44348,231.95395,233.44348,1.4895365,465.39743,20.0,1219
0.08079493,0.0,0.08079493,0.08079493,0.08079493,91.009796,0.0,91.009796,91.009796,91.009796,10.0,1225
0.050499853,0.02356643,0.050499853,0.026933422,0.07406628,37.715,30.363684,37.715,7.351317,68.07868,13.0,1232
0.053860724,0.0067337584,0.053860724,0.047126964,0.06059448,40.246,26.26897,40.246,13.977029,66.51497,14.0,1242
0.08078739,0.0,0.08078739,0.08078739,0.08078739,91.28499,0.0,91.28499,91.28499,91.28499,10.0,1247
0.03703111,0.030298097,0.03703111,0.006733012,0.067329206,24.73155,24.490118,24.73155,0.24143246,49.22167,9.0,1256
0.10099163,0.033669434,0.10099067,0.067318715,0.13466646,345.72693,277.1737,355.89502,48.408943,622.7087,58.0,1281
0.037033215,0.030300302,0.037033215,0.006732914,0.06733352,45.139454,44.87839,45.139454,0.26106074,90.017845,9.0,1290
0.107724026,0.0,0.107724026,0.107724026,0.107724026,229.28264,0.0,229.28264,229.28264,229.28264,14.0,1293
0.05723249,0.03703223,0.05723249,0.020200262,0.09426472,77.33803,73.9576,77.33803,3.3804226,151.29564,15.0,1303
0.06732838,0.026928136,0.06732838,0.04040024,0.09425651,86.220894,65.25237,86.220894,20.968521,151.47327,18.0,1311
0.03029689,0.010102922,0.03029689,0.020193968,0.040399812,11.013356,10.496456,11.013356,0.5168996,21.509813,7.0,1318
0.07070063,0.043767244,0.07070063,0.026933389,0.114467874,198.58867,197.06699,198.58867,1.5216817,395.65567,19.0,1325
0.11446527,0.0067313053,0.11446527,0.107733965,0.121196575,336.01926,0.28024292,336.01926,335.739,336.2995,32.0,1334
0.037028305,0.023561608,0.037028305,0.013466696,0.060589913,17.355923,16.081749,17.355923,1.2741734,33.43767,9.0,1336
0.10268338,0.03207227,0.104366854,0.067332044,0.13466774,353.05356,271.5655,368.46173,48.905685,626.3851,59.0,1349
0.057232413,0.010101121,0.057232413,0.047131293,0.067333534,51.79331,37.88931,51.79331,13.904,89.68262,15.0,1355
0.05386165,0.03366882,0.05386165,0.020192832,0.08753047,94.12613,93.6479,94.12613,0.47823113,187.77403,14.0,1367
0.07406604,0.0,0.07406604,0.07406604,0.07406604,67.82379,0.0,67.82379,67.82379,67.82379,9.0,1371
0.08415804,0.043758668,0.08415804,0.040399373,0.12791671,209.7606,188.0086,209.7606,21.752007,397.7692,23.0,1379
0.08921529,0.05245365,0.10773097,0.0067333356,0.13466588,332.97693,289.37106,354.6765,0.25703272,622.29767,51.0,1385
0.06060001,0.0067327954,0.06060001,0.053867213,0.067332804,48.538322,0.108623505,48.538322,48.4297,48.646946,16.0,1392
0.047128264,0.020196777,0.047128264,0.026931485,0.06732504,45.45508,43.916584,45.45508,1.5384924,89.371666,12.0,1399
0.057230625,0.050499484,0.057230625,0.006731141,0.10773011,165.78508,165.57358,165.78508,0.21150827,331.35864,15.0,1406
0.107734345,0.0,0.107734345,0.107734345,0.107734345,229.1465,0.0,229.1465,229.1465,229.1465,14.0,1410
0.05835473,0.053959105,0.020199964,0.020199787,0.13466443,207.8451,291.09927,3.5058105,0.511502,619.518,24.0,1416
0.060599476,0.053866215,0.060599476,0.0067332587,0.11446569,197.427,197.1838,197.427,0.2431935,394.6108,16.0,1423
0.10098847,0.042932577,0.12793186,0.040396184,0.13463736,390.6448,273.05777,539.09717,7.6918187,625.14545,43.0,1434
0.070696905,0.023563217,0.070696905,0.04713369,0.09426013,122.8568,109.13593,122.8568,13.7208605,231.99274,19.0,1438
0.10095886,0.013426915,0.10095886,0.08753195,0.114385776,234.14297,47.5026,234.14297,186.64037,281.64557,28.0,1445
0.04713078,0.026931604,0.04713078,0.020199174,0.074062385,35.84998,32.47112,35.84998,3.3788595,68.3211,12.0,1450
0.04376686,0.016833343,0.04376686,0.026933517,0.060600203,34.382042,32.904663,34.382042,1.4773782,67.286705,11.0,1455
